[global batch tokens] : 1,048,576
[world size]           : 8
[grad accum steps]     : 4
[model] loading from /mnt/weka/mmusayelyan/tinyllama_checkpoints/TinyLlama-1.1B-intermediate-step-1431k-3T
[model] total parameters: 1,100,048,384
[optim] decayed tensors    : 156  (1,099,956,224 params)
[optim] non-decayed tensors: 45  (92,160 params)
step     10/8576 | loss 1.9775 | lr 2.67e-06 | grad_norm 0.68 | tok/s 280,838
step     20/8576 | loss 1.9629 | lr 5.33e-06 | grad_norm 0.50 | tok/s 286,901
step     30/8576 | loss 1.9641 | lr 8.00e-06 | grad_norm 0.40 | tok/s 286,768
step     40/8576 | loss 1.9500 | lr 1.07e-05 | grad_norm 0.33 | tok/s 286,429
step     50/8576 | loss 1.9637 | lr 1.33e-05 | grad_norm 0.30 | tok/s 286,807
step     60/8576 | loss 1.9368 | lr 1.60e-05 | grad_norm 0.32 | tok/s 286,696
step     70/8576 | loss 1.9263 | lr 1.87e-05 | grad_norm 0.29 | tok/s 286,748
step     80/8576 | loss 1.9435 | lr 2.13e-05 | grad_norm 0.29 | tok/s 286,847
step     90/8576 | loss 1.9361 | lr 2.40e-05 | grad_norm 0.28 | tok/s 286,607
step    100/8576 | loss 1.9380 | lr 2.67e-05 | grad_norm 0.29 | tok/s 286,537
step    110/8576 | loss 1.9212 | lr 2.93e-05 | grad_norm 0.30 | tok/s 286,610
step    120/8576 | loss 1.8993 | lr 3.20e-05 | grad_norm 0.32 | tok/s 286,602
step    130/8576 | loss 1.9100 | lr 3.47e-05 | grad_norm 0.29 | tok/s 286,594
step    140/8576 | loss 1.9106 | lr 3.73e-05 | grad_norm 0.30 | tok/s 286,785
step    150/8576 | loss 1.9290 | lr 4.00e-05 | grad_norm 0.29 | tok/s 286,670
step    160/8576 | loss 1.8962 | lr 4.27e-05 | grad_norm 0.30 | tok/s 286,630
step    170/8576 | loss 1.8920 | lr 4.53e-05 | grad_norm 0.46 | tok/s 286,748
step    180/8576 | loss 1.8933 | lr 4.80e-05 | grad_norm 0.32 | tok/s 286,625
step    190/8576 | loss 1.9041 | lr 5.07e-05 | grad_norm 0.30 | tok/s 286,701
step    200/8576 | loss 1.8910 | lr 5.33e-05 | grad_norm 0.31 | tok/s 286,765
step    210/8576 | loss 1.8981 | lr 5.60e-05 | grad_norm 0.31 | tok/s 286,860
step    220/8576 | loss 1.8814 | lr 5.87e-05 | grad_norm 0.31 | tok/s 286,753
step    230/8576 | loss 1.8691 | lr 6.13e-05 | grad_norm 0.49 | tok/s 286,679
step    240/8576 | loss 1.8768 | lr 6.40e-05 | grad_norm 0.33 | tok/s 286,610
step    250/8576 | loss 1.8824 | lr 6.67e-05 | grad_norm 0.31 | tok/s 286,694
step    260/8576 | loss 1.8813 | lr 6.93e-05 | grad_norm 0.33 | tok/s 286,683
step    270/8576 | loss 1.8700 | lr 7.20e-05 | grad_norm 0.31 | tok/s 286,807
step    280/8576 | loss 1.8778 | lr 7.47e-05 | grad_norm 0.36 | tok/s 286,579
step    290/8576 | loss 1.8663 | lr 7.73e-05 | grad_norm 0.33 | tok/s 286,625
step    300/8576 | loss 1.8577 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,876
step    310/8576 | loss 1.8721 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,692
step    320/8576 | loss 1.8604 | lr 8.00e-05 | grad_norm 1.47 | tok/s 286,777
step    330/8576 | loss 1.8452 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,843
step    340/8576 | loss 1.8572 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,923
step    350/8576 | loss 1.8556 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,715
step    360/8576 | loss 1.8629 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,805
step    370/8576 | loss 1.8563 | lr 8.00e-05 | grad_norm 0.36 | tok/s 286,803
step    380/8576 | loss 1.8463 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,914
step    390/8576 | loss 1.8590 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,796
step    400/8576 | loss 1.8502 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,672
step    410/8576 | loss 1.8435 | lr 8.00e-05 | grad_norm 0.35 | tok/s 286,865
step    420/8576 | loss 1.8442 | lr 8.00e-05 | grad_norm 0.35 | tok/s 286,662
step    430/8576 | loss 1.8461 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,812
step    440/8576 | loss 1.8499 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,705
step    450/8576 | loss 1.8345 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,825
step    460/8576 | loss 1.8374 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,578
