[global batch tokens] : 1,048,576
[world size]           : 8
[grad accum steps]     : 4
[model] loading from /mnt/weka/mmusayelyan/tinyllama_checkpoints/TinyLlama-1.1B-intermediate-step-1431k-3T
[model] total parameters: 1,100,048,384
[optim] decayed tensors    : 156  (1,099,956,224 params)
[optim] non-decayed tensors: 45  (92,160 params)
step     10/13952 | loss 1.9777 | lr 1.63e-06 | grad_norm 0.70 | tok/s 279,532
step     20/13952 | loss 1.9648 | lr 3.27e-06 | grad_norm 0.60 | tok/s 287,062
step     30/13952 | loss 1.9693 | lr 4.90e-06 | grad_norm 0.50 | tok/s 286,795
step     40/13952 | loss 1.9568 | lr 6.53e-06 | grad_norm 0.37 | tok/s 286,610
step     50/13952 | loss 1.9724 | lr 8.16e-06 | grad_norm 0.33 | tok/s 286,390
step     60/13952 | loss 1.9470 | lr 9.80e-06 | grad_norm 0.31 | tok/s 286,153
step     70/13952 | loss 1.9373 | lr 1.14e-05 | grad_norm 0.30 | tok/s 285,929
step     80/13952 | loss 1.9550 | lr 1.31e-05 | grad_norm 0.29 | tok/s 285,932
step     90/13952 | loss 1.9483 | lr 1.47e-05 | grad_norm 0.28 | tok/s 286,010
step    100/13952 | loss 1.9506 | lr 1.63e-05 | grad_norm 0.29 | tok/s 285,831
step    110/13952 | loss 1.9352 | lr 1.80e-05 | grad_norm 0.29 | tok/s 285,951
step    120/13952 | loss 1.9141 | lr 1.96e-05 | grad_norm 0.29 | tok/s 285,878
step    130/13952 | loss 1.9257 | lr 2.12e-05 | grad_norm 0.28 | tok/s 285,968
step    140/13952 | loss 1.9262 | lr 2.29e-05 | grad_norm 0.28 | tok/s 285,939
step    150/13952 | loss 1.9450 | lr 2.45e-05 | grad_norm 0.28 | tok/s 286,058
step    160/13952 | loss 1.9126 | lr 2.61e-05 | grad_norm 0.29 | tok/s 285,907
step    170/13952 | loss 1.9096 | lr 2.78e-05 | grad_norm 0.46 | tok/s 286,003
step    180/13952 | loss 1.9104 | lr 2.94e-05 | grad_norm 0.38 | tok/s 285,829
step    190/13952 | loss 1.9214 | lr 3.10e-05 | grad_norm 0.29 | tok/s 285,879
step    200/13952 | loss 1.9071 | lr 3.27e-05 | grad_norm 0.29 | tok/s 285,941
step    210/13952 | loss 1.9149 | lr 3.43e-05 | grad_norm 0.30 | tok/s 285,772
step    220/13952 | loss 1.8986 | lr 3.59e-05 | grad_norm 0.29 | tok/s 286,097
step    230/13952 | loss 1.8857 | lr 3.76e-05 | grad_norm 0.56 | tok/s 286,011
step    240/13952 | loss 1.8934 | lr 3.92e-05 | grad_norm 0.31 | tok/s 286,022
step    250/13952 | loss 1.8979 | lr 4.08e-05 | grad_norm 0.29 | tok/s 286,177
step    260/13952 | loss 1.8966 | lr 4.24e-05 | grad_norm 0.34 | tok/s 286,166
step    270/13952 | loss 1.8852 | lr 4.41e-05 | grad_norm 0.30 | tok/s 286,074
step    280/13952 | loss 1.8934 | lr 4.57e-05 | grad_norm 0.33 | tok/s 286,184
step    290/13952 | loss 1.8792 | lr 4.73e-05 | grad_norm 0.30 | tok/s 285,989
step    300/13952 | loss 1.8717 | lr 4.90e-05 | grad_norm 0.30 | tok/s 286,099
step    310/13952 | loss 1.8868 | lr 5.06e-05 | grad_norm 0.30 | tok/s 286,084
step    320/13952 | loss 1.8743 | lr 5.22e-05 | grad_norm 1.67 | tok/s 286,073
step    330/13952 | loss 1.8591 | lr 5.39e-05 | grad_norm 0.33 | tok/s 286,121
step    340/13952 | loss 1.8725 | lr 5.55e-05 | grad_norm 0.30 | tok/s 286,086
step    350/13952 | loss 1.8703 | lr 5.71e-05 | grad_norm 0.30 | tok/s 286,091
step    360/13952 | loss 1.8770 | lr 5.88e-05 | grad_norm 0.32 | tok/s 286,033
step    370/13952 | loss 1.8708 | lr 6.04e-05 | grad_norm 0.50 | tok/s 286,022
step    380/13952 | loss 1.8610 | lr 6.20e-05 | grad_norm 0.31 | tok/s 286,142
step    390/13952 | loss 1.8742 | lr 6.37e-05 | grad_norm 0.32 | tok/s 286,217
step    400/13952 | loss 1.8652 | lr 6.53e-05 | grad_norm 0.33 | tok/s 286,005
step    410/13952 | loss 1.8585 | lr 6.69e-05 | grad_norm 0.33 | tok/s 285,808
step    420/13952 | loss 1.8587 | lr 6.86e-05 | grad_norm 0.37 | tok/s 286,110
step    430/13952 | loss 1.8605 | lr 7.02e-05 | grad_norm 0.32 | tok/s 286,171
step    440/13952 | loss 1.8657 | lr 7.18e-05 | grad_norm 0.32 | tok/s 286,057
