[global batch tokens] : 1,048,576
[world size]           : 8
[grad accum steps]     : 4
[model] loading from /mnt/weka/mmusayelyan/tinyllama_checkpoints/TinyLlama-1.1B-intermediate-step-1431k-3T
[model] total parameters: 1,100,048,384
[optim] decayed tensors    : 156  (1,099,956,224 params)
[optim] non-decayed tensors: 45  (92,160 params)
step     10/13952 | loss 1.9775 | lr 2.67e-06 | grad_norm 0.68 | tok/s 278,707
step     20/13952 | loss 1.9629 | lr 5.33e-06 | grad_norm 0.50 | tok/s 286,443
step     30/13952 | loss 1.9641 | lr 8.00e-06 | grad_norm 0.40 | tok/s 286,311
step     40/13952 | loss 1.9500 | lr 1.07e-05 | grad_norm 0.32 | tok/s 285,868
step     50/13952 | loss 1.9637 | lr 1.33e-05 | grad_norm 0.30 | tok/s 285,953
step     60/13952 | loss 1.9368 | lr 1.60e-05 | grad_norm 0.32 | tok/s 286,153
step     70/13952 | loss 1.9263 | lr 1.87e-05 | grad_norm 0.29 | tok/s 285,792
step     80/13952 | loss 1.9435 | lr 2.13e-05 | grad_norm 0.29 | tok/s 285,922
step     90/13952 | loss 1.9361 | lr 2.40e-05 | grad_norm 0.28 | tok/s 286,092
step    100/13952 | loss 1.9380 | lr 2.67e-05 | grad_norm 0.29 | tok/s 285,619
step    110/13952 | loss 1.9212 | lr 2.93e-05 | grad_norm 0.30 | tok/s 285,734
step    120/13952 | loss 1.8993 | lr 3.20e-05 | grad_norm 0.32 | tok/s 285,834
step    130/13952 | loss 1.9100 | lr 3.47e-05 | grad_norm 0.29 | tok/s 285,858
step    140/13952 | loss 1.9106 | lr 3.73e-05 | grad_norm 0.30 | tok/s 286,047
step    150/13952 | loss 1.9290 | lr 4.00e-05 | grad_norm 0.29 | tok/s 285,876
step    160/13952 | loss 1.8962 | lr 4.27e-05 | grad_norm 0.30 | tok/s 285,859
step    170/13952 | loss 1.8921 | lr 4.53e-05 | grad_norm 0.59 | tok/s 285,892
step    180/13952 | loss 1.8934 | lr 4.80e-05 | grad_norm 0.33 | tok/s 285,847
step    190/13952 | loss 1.9042 | lr 5.07e-05 | grad_norm 0.30 | tok/s 285,923
step    200/13952 | loss 1.8910 | lr 5.33e-05 | grad_norm 0.31 | tok/s 286,093
step    210/13952 | loss 1.8980 | lr 5.60e-05 | grad_norm 0.31 | tok/s 286,073
step    220/13952 | loss 1.8814 | lr 5.87e-05 | grad_norm 0.31 | tok/s 286,166
step    230/13952 | loss 1.8690 | lr 6.13e-05 | grad_norm 0.44 | tok/s 286,208
step    240/13952 | loss 1.8767 | lr 6.40e-05 | grad_norm 0.33 | tok/s 285,827
step    250/13952 | loss 1.8822 | lr 6.67e-05 | grad_norm 0.31 | tok/s 285,847
step    260/13952 | loss 1.8810 | lr 6.93e-05 | grad_norm 0.33 | tok/s 285,858
step    270/13952 | loss 1.8698 | lr 7.20e-05 | grad_norm 0.32 | tok/s 286,006
step    280/13952 | loss 1.8778 | lr 7.47e-05 | grad_norm 0.34 | tok/s 286,278
step    290/13952 | loss 1.8643 | lr 7.73e-05 | grad_norm 0.32 | tok/s 286,199
step    300/13952 | loss 1.8578 | lr 8.00e-05 | grad_norm 0.41 | tok/s 286,240
step    310/13952 | loss 1.8726 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,119
step    320/13952 | loss 1.8610 | lr 8.00e-05 | grad_norm 1.52 | tok/s 285,950
step    330/13952 | loss 1.8456 | lr 8.00e-05 | grad_norm 0.35 | tok/s 285,788
step    340/13952 | loss 1.8572 | lr 8.00e-05 | grad_norm 0.33 | tok/s 285,977
step    350/13952 | loss 1.8555 | lr 8.00e-05 | grad_norm 0.31 | tok/s 285,935
step    360/13952 | loss 1.8631 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,221
step    370/13952 | loss 1.8564 | lr 8.00e-05 | grad_norm 0.37 | tok/s 286,161
step    380/13952 | loss 1.8463 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,144
step    390/13952 | loss 1.8587 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,389
step    400/13952 | loss 1.8501 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,212
step    410/13952 | loss 1.8434 | lr 8.00e-05 | grad_norm 0.35 | tok/s 286,203
step    420/13952 | loss 1.8441 | lr 8.00e-05 | grad_norm 0.36 | tok/s 286,154
step    430/13952 | loss 1.8460 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,179
step    440/13952 | loss 1.8499 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,246
step    450/13952 | loss 1.8344 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,123
step    460/13952 | loss 1.8374 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,161
step    470/13952 | loss 1.8456 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,229
step    480/13952 | loss 1.8371 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,135
step    490/13952 | loss 1.8379 | lr 8.00e-05 | grad_norm 0.39 | tok/s 286,305
step    500/13952 | loss 1.8244 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,139
step    510/13952 | loss 1.8284 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,164
step    520/13952 | loss 1.8464 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,256
step    530/13952 | loss 1.8260 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,134
step    540/13952 | loss 1.8320 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,153
step    550/13952 | loss 1.8207 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,165
step    560/13952 | loss 1.8372 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,217
step    570/13952 | loss 1.8090 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,215
step    580/13952 | loss 1.8121 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,104
step    590/13952 | loss 1.8252 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,285
step    600/13952 | loss 1.8246 | lr 8.00e-05 | grad_norm 0.37 | tok/s 286,232
step    610/13952 | loss 1.8125 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,160
step    620/13952 | loss 1.8187 | lr 8.00e-05 | grad_norm 0.39 | tok/s 286,231
step    630/13952 | loss 1.8104 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,167
step    640/13952 | loss 1.8202 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,211
step    650/13952 | loss 1.8041 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,298
step    660/13952 | loss 1.8172 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,138
step    670/13952 | loss 1.8308 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,286
step    680/13952 | loss 1.8207 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,139
step    690/13952 | loss 1.8073 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,160
step    700/13952 | loss 1.8158 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,230
step    710/13952 | loss 1.8126 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,174
step    720/13952 | loss 1.8107 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,181
step    730/13952 | loss 1.8118 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,282
step    740/13952 | loss 1.8101 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,218
step    750/13952 | loss 1.8178 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,236
step    760/13952 | loss 1.7999 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,269
step    770/13952 | loss 1.8182 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,203
step    780/13952 | loss 1.8060 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,191
step    790/13952 | loss 1.8053 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,252
step    800/13952 | loss 1.8055 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,160
step    810/13952 | loss 1.8186 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,269
step    820/13952 | loss 1.8218 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,337
step    830/13952 | loss 1.8032 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,268
step    840/13952 | loss 1.7925 | lr 8.00e-05 | grad_norm 0.35 | tok/s 286,191
step    850/13952 | loss 1.8058 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,227
step    860/13952 | loss 1.8143 | lr 8.00e-05 | grad_norm 0.68 | tok/s 286,317
step    870/13952 | loss 1.8037 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,276
step    880/13952 | loss 1.8060 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,213
step    890/13952 | loss 1.7888 | lr 8.00e-05 | grad_norm 0.35 | tok/s 286,243
step    900/13952 | loss 1.7967 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,149
step    910/13952 | loss 1.8125 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,242
step    920/13952 | loss 1.8021 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,196
step    930/13952 | loss 1.7978 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,257
step    940/13952 | loss 1.7988 | lr 8.00e-05 | grad_norm 0.62 | tok/s 286,199
step    950/13952 | loss 1.8064 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,266
step    960/13952 | loss 1.8007 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,171
step    970/13952 | loss 1.7997 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,101
step    980/13952 | loss 1.7927 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,042
step    990/13952 | loss 1.7996 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,239
step   1000/13952 | loss 1.7807 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,217
step   1010/13952 | loss 1.8000 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,178
step   1020/13952 | loss 1.8061 | lr 8.00e-05 | grad_norm 0.77 | tok/s 286,103
step   1030/13952 | loss 1.7961 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,233
step   1040/13952 | loss 1.7970 | lr 8.00e-05 | grad_norm 0.43 | tok/s 286,263
step   1050/13952 | loss 1.8035 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,183
step   1060/13952 | loss 1.7957 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,099
step   1070/13952 | loss 1.8155 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,216
step   1080/13952 | loss 1.8047 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,161
step   1090/13952 | loss 1.7995 | lr 8.00e-05 | grad_norm 0.35 | tok/s 285,936
step   1100/13952 | loss 1.7961 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,004
step   1110/13952 | loss 1.7982 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,096
step   1120/13952 | loss 1.7980 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,183
step   1130/13952 | loss 1.7978 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,273
step   1140/13952 | loss 1.7955 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,192
step   1150/13952 | loss 1.7969 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,218
step   1160/13952 | loss 1.8082 | lr 8.00e-05 | grad_norm 0.35 | tok/s 286,257
step   1170/13952 | loss 1.8019 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,159
step   1180/13952 | loss 1.7934 | lr 8.00e-05 | grad_norm 0.31 | tok/s 285,993
step   1190/13952 | loss 1.7928 | lr 8.00e-05 | grad_norm 0.31 | tok/s 285,966
step   1200/13952 | loss 1.7948 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,160
step   1210/13952 | loss 1.7970 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,109
step   1220/13952 | loss 1.8003 | lr 8.00e-05 | grad_norm 0.32 | tok/s 285,937
step   1230/13952 | loss 1.7984 | lr 8.00e-05 | grad_norm 0.31 | tok/s 285,862
step   1240/13952 | loss 1.7903 | lr 8.00e-05 | grad_norm 0.31 | tok/s 285,926
step   1250/13952 | loss 1.8038 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,108
step   1260/13952 | loss 1.7985 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,227
step   1270/13952 | loss 1.8063 | lr 8.00e-05 | grad_norm 0.33 | tok/s 285,958
step   1280/13952 | loss 1.7986 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,111
step   1290/13952 | loss 1.8106 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,282
step   1300/13952 | loss 1.7946 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,242
step   1310/13952 | loss 1.7848 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,282
step   1320/13952 | loss 1.7943 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,252
step   1330/13952 | loss 1.7979 | lr 8.00e-05 | grad_norm 0.38 | tok/s 286,240
step   1340/13952 | loss 1.8021 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,112
step   1350/13952 | loss 1.7894 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,124
step   1360/13952 | loss 1.7971 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,297
step   1370/13952 | loss 1.7895 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,253
step   1380/13952 | loss 1.7935 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,058
step   1390/13952 | loss 1.7843 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,205
step   1400/13952 | loss 1.7743 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,099
step   1410/13952 | loss 1.7765 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,286
step   1420/13952 | loss 1.7842 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,157
step   1430/13952 | loss 1.7960 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,233
step   1440/13952 | loss 1.7709 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,287
step   1450/13952 | loss 1.7755 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,310
step   1460/13952 | loss 1.7834 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,178
step   1470/13952 | loss 1.7851 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,249
step   1480/13952 | loss 1.7690 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,168
step   1490/13952 | loss 1.7929 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,202
step   1500/13952 | loss 1.7870 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,104
step   1510/13952 | loss 1.7800 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,245
step   1520/13952 | loss 1.7863 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,144
step   1530/13952 | loss 1.7745 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,203
